Date,Open,High,Low,Close,Adj Close,Volume
1995-09-01,10.180000,10.180000,10.180000,10.180000,6.577370,0
1995-09-05,10.220000,10.220000,10.220000,10.220000,6.603215,0
1995-09-06,10.260000,10.260000,10.260000,10.260000,6.629058,0
1995-09-07,10.280000,10.280000,10.280000,10.280000,6.641980,0
1995-09-08,10.300000,10.300000,10.300000,10.300000,6.654903,0
1995-09-11,10.330000,10.330000,10.330000,10.330000,6.674287,0
1995-09-12,10.340000,10.340000,10.340000,10.340000,6.680748,0
1995-09-13,10.330000,10.330000,10.330000,10.330000,6.674287,0
1995-09-14,10.340000,10.340000,10.340000,10.340000,6.680748,0
1995-09-15,10.330000,10.330000,10.330000,10.330000,6.674287,0
1995-09-18,10.260000,10.260000,10.260000,10.260000,6.629058,0
1995-09-19,10.280000,10.280000,10.280000,10.280000,6.641980,0
1995-09-20,10.280000,10.280000,10.280000,10.280000,6.641980,0
1995-09-21,10.310000,10.310000,10.310000,10.310000,6.661366,0
1995-09-22,10.230000,10.230000,10.230000,10.230000,6.609677,0
1995-09-25,10.200000,10.200000,10.200000,10.200000,6.590292,0
1995-09-26,10.210000,10.210000,10.210000,10.210000,6.596753,0
1995-09-27,10.230000,10.230000,10.230000,10.230000,6.609677,0
1995-09-28,10.250000,10.250000,10.250000,10.250000,6.622595,0
1995-09-29,10.340000,10.340000,10.340000,10.340000,6.680748,0
1995-10-02,10.270000,10.270000,10.270000,10.270000,6.635522,0
1995-10-03,10.230000,10.230000,10.230000,10.230000,6.609677,0
1995-10-04,10.230000,10.230000,10.230000,10.230000,6.609677,0
1995-10-05,10.280000,10.280000,10.280000,10.280000,6.641980,0
1995-10-06,10.290000,10.290000,10.290000,10.290000,6.648441,0
1995-10-09,10.220000,10.220000,10.220000,10.220000,6.603215,0
1995-10-10,10.140000,10.140000,10.140000,10.140000,6.551527,0
1995-10-11,10.160000,10.160000,10.160000,10.160000,6.564448,0
1995-10-12,10.210000,10.210000,10.210000,10.210000,6.596753,0
1995-10-13,10.260000,10.260000,10.260000,10.260000,6.629058,0
1995-10-16,10.280000,10.280000,10.280000,10.280000,6.641980,0
1995-10-17,10.260000,10.260000,10.260000,10.260000,6.629058,0
1995-10-18,10.260000,10.260000,10.260000,10.260000,6.629058,0
1995-10-19,10.280000,10.280000,10.280000,10.280000,6.641980,0
1995-10-20,10.270000,10.270000,10.270000,10.270000,6.635522,0
1995-10-23,10.170000,10.170000,10.170000,10.170000,6.570910,0
1995-10-24,10.170000,10.170000,10.170000,10.170000,6.570910,0
1995-10-25,10.140000,10.140000,10.140000,10.140000,6.551527,0
1995-10-26,10.040000,10.040000,10.040000,10.040000,6.486914,0
1995-10-27,10.020000,10.020000,10.020000,10.020000,6.473994,0
1995-10-30,10.090000,10.090000,10.090000,10.090000,6.519221,0
1995-10-31,10.070000,10.070000,10.070000,10.070000,6.506298,0
1995-11-01,10.050000,10.050000,10.050000,10.050000,6.493378,0
1995-11-02,10.120000,10.120000,10.120000,10.120000,6.538603,0
1995-11-03,10.150000,10.150000,10.150000,10.150000,6.557987,0
1995-11-06,10.170000,10.170000,10.170000,10.170000,6.570910,0
1995-11-07,10.150000,10.150000,10.150000,10.150000,6.557987,0
1995-11-08,10.160000,10.160000,10.160000,10.160000,6.564448,0
1995-11-09,10.180000,10.180000,10.180000,10.180000,6.577370,0
1995-11-10,10.200000,10.200000,10.200000,10.200000,6.590292,0
1995-11-13,10.140000,10.140000,10.140000,10.140000,6.551527,0
1995-11-14,10.100000,10.100000,10.100000,10.100000,6.525682,0
1995-11-15,10.080000,10.080000,10.080000,10.080000,6.512759,0
1995-11-16,10.110000,10.110000,10.110000,10.110000,6.532142,0
1995-11-17,10.140000,10.140000,10.140000,10.140000,6.551527,0
1995-11-20,10.200000,10.200000,10.200000,10.200000,6.590292,0
1995-11-21,10.230000,10.230000,10.230000,10.230000,6.609677,0
1995-11-22,10.260000,10.260000,10.260000,10.260000,6.629058,0
1995-11-24,10.290000,10.290000,10.290000,10.290000,6.648441,0
1995-11-27,10.280000,10.280000,10.280000,10.280000,6.641980,0
1995-11-28,10.360000,10.360000,10.360000,10.360000,6.693670,0
1995-11-29,10.390000,10.390000,10.390000,10.390000,6.713053,0
1995-11-30,10.400000,10.400000,10.400000,10.400000,6.719513,0
1995-12-01,10.450000,10.450000,10.450000,10.450000,6.751820,0
1995-12-04,10.500000,10.500000,10.500000,10.500000,6.784125,0
1995-12-05,10.530000,10.530000,10.530000,10.530000,6.803508,0
1995-12-06,10.570000,10.570000,10.570000,10.570000,6.829351,0
1995-12-07,10.590000,10.590000,10.590000,10.590000,6.842277,0
1995-12-08,10.530000,10.530000,10.530000,10.530000,6.803508,0
1995-12-11,10.520000,10.520000,10.520000,10.520000,6.797046,0
1995-12-12,10.490000,10.490000,10.490000,10.490000,6.777666,0
1995-12-13,10.500000,10.500000,10.500000,10.500000,6.784125,0
1995-12-14,10.500000,10.500000,10.500000,10.500000,6.784125,0
1995-12-15,10.460000,10.460000,10.460000,10.460000,6.758280,0
1995-12-18,10.360000,10.360000,10.360000,10.360000,6.693670,0
1995-12-19,10.320000,10.320000,10.320000,10.320000,6.667825,0
1995-12-20,10.390000,10.390000,10.390000,10.390000,6.713053,0
1995-12-21,10.460000,10.460000,10.460000,10.460000,6.758280,0
1995-12-22,10.490000,10.490000,10.490000,10.490000,6.777666,0
